Delivery,Name of sold-to party,Shipment Number,Sold-to party,Name of the ship-to party,Location of the ship-to party,Ship-to party,Material,UPC,GTIN,Description,Batch,Delivery quantity,Actual delivery qty,Net weight,Plant,Act. Gds Mvmnt Date,Deliv. date(From/to),Created on,Overall pick.status
808116260,HAVANA SEED COMPANY INC,833046550,9259952,PAUL BERGH WHS,VEBLEN,9255872,13031079,190794147040,00190794147040,C.DK.DKC41-99RIB.SB9.AF2.80M.F7.US,H18E9F4JX,25,25,"1,200.000",8H3T,28/12/2022,28/12/2022,27/12/2022,C
808116260,HAVANA SEED COMPANY INC,833046550,9259952,PAUL BERGH WHS,VEBLEN,9255872,13031079,190794147040,00190794147040,C.DK.DKC41-99RIB.SB9.AF2.80M.F7.US,H18E7E4JT,12,12,504.000,8H3T,28/12/2022,28/12/2022,27/12/2022,C
808116260,HAVANA SEED COMPANY INC,833046550,9259952,PAUL BERGH WHS,VEBLEN,9255872,13031079,190794147040,00190794147040,C.DK.DKC41-99RIB.SB9.AF2.80M.F7.US,H18E4D4JT,16,16,760.000,8H3T,28/12/2022,28/12/2022,27/12/2022,C
808116260,HAVANA SEED COMPANY INC,833046550,9259952,PAUL BERGH WHS,VEBLEN,9255872,13031079,190794147040,00190794147040,C.DK.DKC41-99RIB.SB9.AF2.80M.F7.US,H18E3C4JT,11,11,528.000,8H3T,28/12/2022,28/12/2022,27/12/2022,C
808290529,HAVANA SEED COMPANY INC,833253887,9259952,PAUL BERGH WHS,VEBLEN,9255872,13031079,190794147040,00190794147040,C.DK.DKC41-99RIB.SB9.AF2.80M.F7.US,H52RAW9JX,2,2,90.800,8H53,02/03/2023,02/03/2023,22/02/2023,C
808479249,HAVANA SEED COMPANY INC,833392058,9259952,HAVANA SEED COMPANY INC,HAVANA,9259952,13031079,190794147040,00190794147040,C.DK.DKC41-99RIB.SB9.AF2.80M.F7.US,H52RV39JT,32,32,"1,382.400",8H53,25/04/2023,26/04/2023,19/04/2023,C
808075640,ROELOFSEN SEED SALES INC,833006391,9201975,ROELFSEN SEED WHS,TORONTO,9253231,88347498,190794536530,00190794536530,C.DK.DKC42-64RIB.SCR.AF2.50USP.E7.US,H18XF93JX,50,1,"2,575.000",8H53,02/12/2022,02/12/2022,21/11/2022,C
808260116,ROELOFSEN SEED SALES INC,833222702,9201975,ROELFSEN SEED WHS,TORONTO,9253231,88347447,190794536493,00190794536493,C.DK.DKC42-64RIB.SCR.AF2.80M.E7.US,H53RXP4JT,51,51,"2,468.400",8H53,27/02/2023,27/02/2023,10/02/2023,C
808351154,DEWILDE SEEDS,833321780,9201245,DEWILDE SEEDS,RUTHTON,9201245,88347447,190794536493,00190794536493,C.DK.DKC42-64RIB.SCR.AF2.80M.E7.US,H18XPT3JX,13,13,656.500,8H53,28/03/2023,29/03/2023,14/03/2023,C
808222398,MOORETON CHEMICAL LLC,833186362,4790087,MOORETON CHEMICAL LLC,MOORETON,4790087,88348036,190794537018,00190794537018,C.DK.DKC42-65RIB.SCS.AF2.50USP.F7.US,H26R7V3JT,100,2,"4,200.000",8H3T,08/02/2023,08/02/2023,30/01/2023,C
